 [2025-05-20 19:47:16.967897] IP: 127.0.0.1 | Type: SQLi | Payload:    ' OR '1'='1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:55.859749] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3w.FkteVbMlCM_4nlHi-Vvxl2goTjk ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:56.268875] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3w.FkteVbMlCM_4nlHi-Vvxl2goTjk ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:56.678948] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz4A.5hm7E5fOgev1Ny6YYR4DrRp_AYo ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:56:59.882044] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz4A.5hm7E5fOgev1Ny6YYR4DrRp_AYo ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:15.016079] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0ZA.ZZdiwvUXzEBr_TjWXl-e2WehyG8    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:36.525668] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0aw.PrZxJhJ11yFIYnCxTDA7t4yebHM    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:36.935760] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gA.24VaHO6JsgiHkSRh-w9wwtECdAQ    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:37.360297] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gA.24VaHO6JsgiHkSRh-w9wwtECdAQ    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:38.131002] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gQ.S9RFeOwT4N7rc2XcP1QiqxbBFfE    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:38.558877] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gg.QsHMZlqoCBG2fh3CNtaYL_IrA-Q    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:38.974854] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gg.QsHMZlqoCBG2fh3CNtaYL_IrA-Q    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:39.370496] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gg.QsHMZlqoCBG2fh3CNtaYL_IrA-Q    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:39.786265] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gw.f8jNtNQepm8lQvqjFgnCM0vZ3Gw    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:40.161144] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0gw.f8jNtNQepm8lQvqjFgnCM0vZ3Gw    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:40.566337] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hA.NAFKtHVyDnukla6-MpQeTq-AkEc    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:40.934080] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hA.NAFKtHVyDnukla6-MpQeTq-AkEc    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:41.287988] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hA.NAFKtHVyDnukla6-MpQeTq-AkEc    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:41.622340] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hQ.3FHId_pHE8R_w461hBhFNkbYaJY    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:42.055107] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hQ.3FHId_pHE8R_w461hBhFNkbYaJY    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:42.487643] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hg.f-Xq8BiCz9MzDX3Wpp3jr6mJVJk    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:57:42.961816] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hg.f-Xq8BiCz9MzDX3Wpp3jr6mJVJk    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:03:10.333720] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy0hg.f-Xq8BiCz9MzDX3Wpp3jr6mJVJk    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:03:42.777860] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy12A.Wm2IRdm2KS5A7NKCkXeFBgG5XoM    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:03:44.727627] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy17g.910fHmDipdyRmpj0mSBq9ttgcew    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:15:42.404880] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy4nw.Yj9MBo_MeUKp7pUYCrLlxxqZd7k ' OR '1'='1 Scan | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:16:45.730265] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy49g.xas1i6TtnAOgn1-FGTt-mOTh92U    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:17:15.453772] IP: 127.0.0.1 | Type: XSS | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy4_Q.-HHJUvFQQDKB7qUmecwW_BtZ4GI <script>alert(1)</script> Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:26:32.597108] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy7NQ.6LRhobp4cVX3WkQd-wMuRUFnuVg ' OR '1'='1 Scan | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:26:40.495779] IP: 127.0.0.1 | Type: XSS | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy7SA.WqeJEsPK40Mw6IzSunY5DLKSQgQ <script>alert(1)</script> Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:42:53.988388] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy_FA.wEthfw1hQP1IaYkdKS6jJ2OKIYo ' OR '1'='1 Scan | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:43:01.513818] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy_HQ.-4Hw4mx13Z_PWlC1x7-FnDIPi6I    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:43:03.347944] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy_JQ.XNoKrFdXmavl9OVru7tS46PcbV8    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:46:12.719343] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCy_2Q.qtVGux-wQG-pSwk2NWqMeYtw-dI    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:47:11.221168] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzAFw.UvynnTNTamZJ2mLqgFtFyEE5jkE ' OR '1'='1 Scan | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 20:47:24.887533] IP: 127.0.0.1 | Type: XSS | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzAJA.4dIcSTX-chUoNQwo3VYz39spaCY <script>alert(1)</script> Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:05:09.765708] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzETg.eUFpd9bVF0adOEuh4xURCpnw1BE ' OR '1'='1 Scan | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:05:23.661476] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzEXA.9oZxnlD9gYjQizUAPJQI3_PlhcA ; ls Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:05:28.487194] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzEYw.bDj02hvjC5uxcVbURjfQF28LFdM    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:09:37.924143] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzFWw.mj3Qj1Ulc8zlui3udJMepOmJMUs ' OR '1'='1 Scan | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:09:49.939392] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzFZw.oqIuKgaYCj8l-DmqkCoGGfnpg-M    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:09:54.875586] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzFbQ.olqswkrI63A38HuQUiWQXhq3tuY ; ls Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:12:03.854209] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzF7A.3tlPUx7Hu45JthsDnu2h5wTO8Yo ' OR '1'='1 Scan | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:12:15.359651] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzF-g.oEdfgOpf94zDm5QwXxX-SylRHWg ; ls Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 21:12:19.844638] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCzF_w.dTvvD4GU8Ns5PeTIKWZPvKx1KEE    ' OR '1'='1 Submit | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
